DNA_Clean_Log_File - File name = A_Clean_File_2022-07-27125456 - AA code = invert - AGCT only = TRUE
********** Anopheles_COI_MAFFT_Trimmed - 2022-07-27 12:54:56 **********
Species	Initial	Dereplicate	AGCT	AA	Genus_Outlier	Species_Outlier	Intraspecific	Interspecific	Barcode_Gap
communis	101	101	101	101	101	100	0.0566666666666667	0.0183333333333333	NO
detritus	35	35	34	34	34	31	0.00833333333333333	0.0183333333333333	YES
diantaeus	8	8	8	8	8	8	0.015	0.0366666666666667	YES
dorsalis	44	44	44	44	44	44	0.0316666666666667	0	NO
epactius	12	12	12	12	12	11	0.0133333333333333	0.09	YES
excrucians	176	176	176	176	176	175	0.0233333333333333	0.00166666666666667	NO
fitchii	3	3	3	3	3	3	0.0266666666666667	0.00166666666666667	NO
flavescens	36	36	36	36	36	36	0.02	0.045	YES
gabriel	10	10	10	10	10	10	0.01	0.06	YES
grossbecki	5	5	4	4	4	4	0	0.075	YES
hendersoni	6	6	6	6	6	6	0.0116666666666667	0.08	YES
hexodontus	130	130	130	130	130	125	0.0316666666666667	0	NO
impiger	32	32	32	32	32	32	0.0266666666666667	0	NO
implicatus	12	12	12	12	12	12	0.095	0.0183333333333333	NO
nigripes	41	41	41	41	41	41	0.01	0	NO
pionips	26	26	26	26	26	24	0.00833333333333333	0.04	YES
podographicus	15	15	15	15	15	15	0.116666666666667	0.06	NO
provocans	21	21	21	21	21	21	0.01	0.0266666666666667	YES
punctor	44	44	42	42	42	42	0.0283333333333333	0	NO
refiki	12	12	12	12	12	12	0.0216666666666667	0.0266666666666667	YES
rempeli	4	4	4	4	4	4	0	0.045	YES
rusticus	14	14	14	14	14	14	0.00333333333333333	0.0416666666666667	YES
sagax	1	1	1	1	1	1	NA	NA	NA
sallumae	5	5	5	5	5	5	0.00666666666666667	0.0733333333333333	YES
sollicitans	4	4	4	4	4	4	0	0.02	YES
spencerii	3	3	3	3	3	3	0.085	0	NO
squamiger	2	2	2	2	2	2	0.00333333333333333	0.0633333333333333	YES
sticticus	65	65	65	65	65	65	0.07	0.0283333333333333	NO
stigmaticus	2	2	2	2	2	2	0.00666666666666667	0.0583333333333333	YES
taeniorhynchus	10	10	9	9	9	9	0.01	0.02	YES
trivittatus	19	19	19	19	19	19	0.0383333333333333	0.0566666666666667	YES
ventrovittis	9	9	9	9	9	9	0.0133333333333333	0.0283333333333333	YES
